FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E08000008,2019,Rank of average rank,,10,f. Crime Domain
E08000008,2019,Average Rank,,10699.97,g. Barriers to Housing and Services Domain
E08000008,2019,Rank of average score,,61,"d. Education, Skills and Training Domain"
E08000008,2019,Average Rank,,18775.42,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000008,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,g. Barriers to Housing and Services Domain
E08000008,2019,Average Rank,,22005.01,i. Income Deprivation Affecting Children Index (IDACI)
E08000008,2019,Rank of average score,,37,b. Income Deprivation Domain
E08000008,2019,Rank of local concentration,,45,a. Index of Multiple Deprivation (IMD)
E08000008,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,82,"d. Education, Skills and Training Domain"
E08000008,2019,Average Rank,,22774.3,a. Index of Multiple Deprivation (IMD)
E08000008,2019,Rank of average score,,93,h. Living Environment Deprivation Domain
E08000008,2019,Average Score,,0.175,b. Income Deprivation Domain
E08000008,2019,Scale,,18282.25,c. Employment Deprivation Domain
E08000008,2019,Average Score,,31.374,a. Index of Multiple Deprivation (IMD)
E08000008,2019,Rank of average score,,37,c. Employment Deprivation Domain
E08000008,2019,Extent,,0.4155,a. Index of Multiple Deprivation (IMD)
E08000008,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1064,i. Income Deprivation Affecting Children Index (IDACI)
E08000008,2019,Rank of average score,,12,f. Crime Domain
E08000008,2019,Average Score,,15.518,g. Barriers to Housing and Services Domain
E08000008,2019,Average Score,,24.589,h. Living Environment Deprivation Domain
E08000008,2019,Average Score,,0.223,i. Income Deprivation Affecting Children Index (IDACI)
E08000008,2019,Average Score,,0.143,c. Employment Deprivation Domain
E08000008,2019,Rank of average score,,60,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000008,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,43,c. Employment Deprivation Domain
E08000008,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,250,g. Barriers to Housing and Services Domain
E08000008,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1986,c. Employment Deprivation Domain
E08000008,2019,Average Score,,0.855,e. Health Deprivation and Disability Domain
E08000008,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2979,e. Health Deprivation and Disability Domain
E08000008,2019,Rank of average score,,270,g. Barriers to Housing and Services Domain
E08000008,2019,Average Score,,0.721,f. Crime Domain
E08000008,2019,Rank of average rank,,49,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000008,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,22,f. Crime Domain
E08000008,2019,Rank of average rank,,27,c. Employment Deprivation Domain
E08000008,2019,Rank of average rank,,23,a. Index of Multiple Deprivation (IMD)
E08000007,2019,Average Rank,,14726.44,i. Income Deprivation Affecting Children Index (IDACI)
E08000007,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0579,h. Living Environment Deprivation Domain
E08000007,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,95,b. Income Deprivation Domain
E08000007,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,88,c. Employment Deprivation Domain
E08000007,2019,Extent,,0.1745,a. Index of Multiple Deprivation (IMD)
E08000007,2019,Rank of scale,,56,c. Employment Deprivation Domain
E08000007,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,115,i. Income Deprivation Affecting Children Index (IDACI)
E08000007,2019,Average Rank,,13357.12,"d. Education, Skills and Training Domain"
E08000007,2019,Rank of average rank,,180,i. Income Deprivation Affecting Children Index (IDACI)
E08000007,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1316,f. Crime Domain
E08000007,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,73,e. Health Deprivation and Disability Domain
E08000007,2019,Rank of average rank,,224,"d. Education, Skills and Training Domain"
E08000007,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,138,h. Living Environment Deprivation Domain
E08000007,2019,Average Rank,,20734.92,f. Crime Domain
E08000007,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,g. Barriers to Housing and Services Domain
E08000007,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,90,a. Index of Multiple Deprivation (IMD)
E08000007,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0842,b. Income Deprivation Domain
E08000007,2019,Average Rank,,15670.96,h. Living Environment Deprivation Domain
E08000007,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,250,g. Barriers to Housing and Services Domain
E08000007,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,64,f. Crime Domain
E08000007,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0632,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000007,2019,Rank of average rank,,155,b. Income Deprivation Domain
E08000008,2019,Rank of scale,,52,b. Income Deprivation Domain
E08000008,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,25,e. Health Deprivation and Disability Domain
E08000008,2019,Rank of average rank,,16,e. Health Deprivation and Disability Domain
E08000008,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,88,i. Income Deprivation Affecting Children Index (IDACI)
E08000008,2019,Average Rank,,21655.26,b. Income Deprivation Domain
E08000008,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,47,b. Income Deprivation Domain
E08000008,2019,Scale,,38768,b. Income Deprivation Domain
E08000008,2019,Rank of average rank,,34,b. Income Deprivation Domain
E08000008,2019,Average Rank,,19192.94,h. Living Environment Deprivation Domain
E08000008,2019,Rank of average score,,19,e. Health Deprivation and Disability Domain
E08000008,2019,Average Rank,,21312.23,"d. Education, Skills and Training Domain"
E08000008,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1702,b. Income Deprivation Domain
E08000008,2019,Average Score,,29.128,"d. Education, Skills and Training Domain"
E08000008,2019,Rank of average rank,,81,h. Living Environment Deprivation Domain
E08000008,2019,Rank of extent,,28,a. Index of Multiple Deprivation (IMD)
E08000008,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,94,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000008,2019, Local concentration,,31859.28,a. Index of Multiple Deprivation (IMD)
E08000008,2019,Average Rank,,26174.92,e. Health Deprivation and Disability Domain
E08000008,2019,Average Score,,0.177,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000008,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2057,a. Index of Multiple Deprivation (IMD)
E08000008,2019,Rank of average rank,,51,"d. Education, Skills and Training Domain"
E08000008,2019,Rank of average rank,,39,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2019,Average Score,,27.427,h. Living Environment Deprivation Domain
E08000015,2019,Rank of average score,,66,h. Living Environment Deprivation Domain
E08000015,2019,Rank of scale,,18,b. Income Deprivation Domain
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,20,c. Employment Deprivation Domain
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2427,b. Income Deprivation Domain
E08000015,2019,Rank of average rank,,135,f. Crime Domain
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,19,e. Health Deprivation and Disability Domain
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1068,f. Crime Domain
E08000015,2019,Rank of average rank,,33,c. Employment Deprivation Domain
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,24,a. Index of Multiple Deprivation (IMD)
E08000015,2019,Rank of average rank,,313,g. Barriers to Housing and Services Domain
E08000015,2019,Rank of average score,,17,c. Employment Deprivation Domain
E08000014,2019,Average Rank,,18355.27,i. Income Deprivation Affecting Children Index (IDACI)
E08000014,2019,Rank of average rank,,147,f. Crime Domain
E08000014,2019,Average Score,,20.557,"d. Education, Skills and Training Domain"
E08000014,2019,Rank of average score,,309,g. Barriers to Housing and Services Domain
E08000014,2019,Average Score,,0.148,c. Employment Deprivation Domain
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,28,c. Employment Deprivation Domain
E08000014,2019,Rank of average rank,,90,h. Living Environment Deprivation Domain
E08000014,2019,Rank of average rank,,39,c. Employment Deprivation Domain
E08000015,2019,Average Score,,0.157,c. Employment Deprivation Domain
E08000014,2019,Rank of average score,,140,"d. Education, Skills and Training Domain"
E08000014,2019,Rank of average rank,,162,"d. Education, Skills and Training Domain"
E08000015,2019,Average Rank,,22382.97,c. Employment Deprivation Domain
E08000015,2019,Rank of extent,,45,a. Index of Multiple Deprivation (IMD)
E08000015,2019, Local concentration,,32613.71,a. Index of Multiple Deprivation (IMD)
E08000015,2019,Average Rank,,5587.71,g. Barriers to Housing and Services Domain
E08000015,2019,Average Rank,,25722.27,e. Health Deprivation and Disability Domain
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,65,h. Living Environment Deprivation Domain
E08000015,2019,Rank of scale,,13,c. Employment Deprivation Domain
E08000015,2019,Average Score,,-0.053,f. Crime Domain
E08000015,2019,Average Score,,0.962,e. Health Deprivation and Disability Domain
E08000015,2019,Rank of local concentration,,8,a. Index of Multiple Deprivation (IMD)
E08000015,2019,Rank of average score,,76,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000015,2019,Scale,,27742.25,c. Employment Deprivation Domain
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3495,e. Health Deprivation and Disability Domain
E08000015,2019,Average Score,,0.218,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2019,Rank of average score,,38,b. Income Deprivation Domain
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2864,c. Employment Deprivation Domain
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,41,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000015,2019,Rank of average rank,,69,b. Income Deprivation Domain
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,24,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2019,Average Rank,,15413,"d. Education, Skills and Training Domain"
E08000015,2019,Rank of average score,,139,f. Crime Domain
E08000015,2019,Rank of average rank,,66,h. Living Environment Deprivation Domain
E08000014,2019,Rank of average rank,,37,e. Health Deprivation and Disability Domain
E08000014,2019,Average Score,,0.75,e. Health Deprivation and Disability Domain
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,g. Barriers to Housing and Services Domain
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,94,f. Crime Domain
E08000014,2019,Average Rank,,17088.4,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000014,2019,Extent,,0.2977,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Average Rank,,18658.77,h. Living Environment Deprivation Domain
E08000014,2019,Rank of local concentration,,19,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Rank of extent,,60,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Average Rank,,6123.18,g. Barriers to Housing and Services Domain
E08000014,2019,Rank of scale,,40,b. Income Deprivation Domain
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2011,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1429,h. Living Environment Deprivation Domain
E08000014,2019,Average Rank,,18986.7,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Average Score,,0.162,b. Income Deprivation Domain
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,66,h. Living Environment Deprivation Domain
E08000014,2019,Average Score,,27.035,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Average Score,,0.169,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000014,2019,Rank of average score,,29,e. Health Deprivation and Disability Domain
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.164,i. Income Deprivation Affecting Children Index (IDACI)
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,98,"d. Education, Skills and Training Domain"
E08000014,2019,Average Rank,,15157.33,f. Crime Domain
E08000014,2019,Rank of average rank,,83,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000014,2019,Rank of average score,,72,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000014,2019,Average Rank,,22201.5,c. Employment Deprivation Domain
E08000014,2019,Average Score,,10.865,g. Barriers to Housing and Services Domain
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,27,e. Health Deprivation and Disability Domain
E08000014,2019,Rank of average rank,,67,b. Income Deprivation Domain
E08000014,2019,Rank of scale,,25,c. Employment Deprivation Domain
E08000014,2019,Average Score,,24.85,h. Living Environment Deprivation Domain
E08000014,2019,Rank of average score,,147,f. Crime Domain
E08000014,2019, Local concentration,,32363.19,a. Index of Multiple Deprivation (IMD)
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,250,g. Barriers to Housing and Services Domain
E08000014,2019,Rank of average rank,,108,i. Income Deprivation Affecting Children Index (IDACI)
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2116,b. Income Deprivation Domain
E08000014,2019,Rank of average score,,89,i. Income Deprivation Affecting Children Index (IDACI)
E08000014,2019,Rank of average score,,55,b. Income Deprivation Domain
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1111,"d. Education, Skills and Training Domain"
E08000014,2019,Scale,,44186,b. Income Deprivation Domain
E08000014,2019,Rank of average rank,,310,g. Barriers to Housing and Services Domain
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.254,c. Employment Deprivation Domain
E08000014,2019,Average Score,,-0.08,f. Crime Domain
E08000014,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,34,b. Income Deprivation Domain
E08000014,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0847,f. Crime Domain
E08000016,2019,Average Rank,,23510.79,c. Employment Deprivation Domain
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,14,"d. Education, Skills and Training Domain"
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0272,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,26,c. Employment Deprivation Domain
E08000016,2019,Average Score,,0.514,f. Crime Domain
E08000016,2019,Rank of average rank,,16,"d. Education, Skills and Training Domain"
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2177,f. Crime Domain
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,34,f. Crime Domain
E08000016,2019,Rank of average score,,15,"d. Education, Skills and Training Domain"
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1769,i. Income Deprivation Affecting Children Index (IDACI)
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,35,a. Index of Multiple Deprivation (IMD)
E08000016,2019, Local concentration,,31740.45,a. Index of Multiple Deprivation (IMD)
E08000016,2019,Rank of scale,,48,b. Income Deprivation Domain
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,137,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000016,2019,Rank of average score,,79,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000016,2019,Average Rank,,21297.26,b. Income Deprivation Domain
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2857,"d. Education, Skills and Training Domain"
E08000016,2019,Average Score,,10.589,g. Barriers to Housing and Services Domain
E08000016,2019,Average Rank,,5725.4,g. Barriers to Housing and Services Domain
E08000016,2019,Rank of average score,,22,e. Health Deprivation and Disability Domain
E08000016,2019,Average Rank,,21850.19,a. Index of Multiple Deprivation (IMD)
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,243,g. Barriers to Housing and Services Domain
E08000016,2019,Rank of average rank,,304,h. Living Environment Deprivation Domain
E08000016,2019,Rank of average rank,,312,g. Barriers to Housing and Services Domain
E08000016,2019,Average Score,,8.384,h. Living Environment Deprivation Domain
E08000016,2019,Average Score,,0.225,i. Income Deprivation Affecting Children Index (IDACI)
E08000016,2019,Average Rank,,22772.3,f. Crime Domain
E08000016,2019,Rank of average score,,311,g. Barriers to Housing and Services Domain
E08000016,2019,Average Score,,29.933,a. Index of Multiple Deprivation (IMD)
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,42,b. Income Deprivation Domain
E08000016,2019,Rank of average score,,43,b. Income Deprivation Domain
E08000016,2019,Rank of average rank,,21,c. Employment Deprivation Domain
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.3469,e. Health Deprivation and Disability Domain
E08000016,2019,Rank of average score,,38,a. Index of Multiple Deprivation (IMD)
E08000016,2019,Average Rank,,21954.44,i. Income Deprivation Affecting Children Index (IDACI)
E08000016,2019,Rank of local concentration,,51,a. Index of Multiple Deprivation (IMD)
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,h. Living Environment Deprivation Domain
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1837,b. Income Deprivation Domain
E08000016,2019,Average Score,,0.169,b. Income Deprivation Domain
E08000016,2019,Rank of scale,,36,c. Employment Deprivation Domain
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2177,a. Index of Multiple Deprivation (IMD)
E08000016,2019,Average Rank,,17755.03,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000016,2019,Rank of average rank,,31,f. Crime Domain
E08000016,2019,Rank of average rank,,38,a. Index of Multiple Deprivation (IMD)
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,251,h. Living Environment Deprivation Domain
E08000015,2019,Average Score,,0.166,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000015,2019,Rank of average score,,130,"d. Education, Skills and Training Domain"
E08000015,2019,Rank of average score,,54,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2019,Rank of average score,,42,a. Index of Multiple Deprivation (IMD)
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1456,h. Living Environment Deprivation Domain
E08000015,2019,Average Rank,,15864.22,f. Crime Domain
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1262,"d. Education, Skills and Training Domain"
E08000015,2019,Average Rank,,19585.79,a. Index of Multiple Deprivation (IMD)
E08000015,2019,Rank of average rank,,95,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2019,Average Score,,0.174,b. Income Deprivation Domain
E08000015,2019,Average Rank,,19455.3,b. Income Deprivation Domain
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.1748,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000015,2019,Average Rank,,16285.46,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000015,2019,Average Score,,21.595,"d. Education, Skills and Training Domain"
E08000015,2019,Extent,,0.3526,a. Index of Multiple Deprivation (IMD)
E08000015,2019,Scale,,55876,b. Income Deprivation Domain
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2524,a. Index of Multiple Deprivation (IMD)
E08000015,2019,Average Rank,,19096.33,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2019,Rank of average score,,13,e. Health Deprivation and Disability Domain
E08000015,2019,Average Score,,10.343,g. Barriers to Housing and Services Domain
E08000015,2019,Rank of average rank,,177,"d. Education, Skills and Training Domain"
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,29,b. Income Deprivation Domain
E08000016,2019,Scale,,40533,b. Income Deprivation Domain
E08000016,2019,Rank of average rank,,41,b. Income Deprivation Domain
E08000016,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0068,g. Barriers to Housing and Services Domain
E08000016,2019,Average Score,,0.149,c. Employment Deprivation Domain
E08000016,2019,Rank of average rank,,64,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000016,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,21,e. Health Deprivation and Disability Domain
E08000016,2019,Rank of average rank,,41,i. Income Deprivation Affecting Children Index (IDACI)
E08000016,2019,Extent,,0.3838,a. Index of Multiple Deprivation (IMD)
E08000016,2019,Rank of average rank,,19,e. Health Deprivation and Disability Domain
E08000016,2019,Average Score,,0.839,e. Health Deprivation and Disability Domain
E08000016,2019,Rank of average score,,42,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2019,Rank of average rank,,97,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,246,g. Barriers to Housing and Services Domain
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,87,"d. Education, Skills and Training Domain"
E08000015,2019,Rank of average rank,,25,e. Health Deprivation and Disability Domain
E08000015,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,79,f. Crime Domain
E08000015,2019,Average Score,,29.589,a. Index of Multiple Deprivation (IMD)
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0049,g. Barriers to Housing and Services Domain
E08000015,2019,Average Rank,,20692.36,h. Living Environment Deprivation Domain
E08000015,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.233,i. Income Deprivation Affecting Children Index (IDACI)
E08000015,2019,Rank of average score,,313,g. Barriers to Housing and Services Domain
E08000015,2019,Rank of average rank,,77,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Average Score,,0.176,c. Employment Deprivation Domain
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,26,"d. Education, Skills and Training Domain"
E08000012,2019,Extent,,0.6213,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4463,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000012,2019,Rank of average rank,,16,c. Employment Deprivation Domain
E08000012,2019,Rank of average score,,8,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4866,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.2416,f. Crime Domain
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,26,f. Crime Domain
E08000012,2019,Average Score,,42.412,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Rank of average score,,4,b. Income Deprivation Domain
E08000012,2019,Average Rank,,23448.06,f. Crime Domain
E08000012,2019,Average Rank,,24161.11,b. Income Deprivation Domain
E08000012,2019,Average Rank,,21747.23,"d. Education, Skills and Training Domain"
E08000012,2019,Scale,,54245.25,c. Employment Deprivation Domain
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,4,i. Income Deprivation Affecting Children Index (IDACI)
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,3,b. Income Deprivation Domain
E08000012,2019,Rank of scale,,3,b. Income Deprivation Domain
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4463,b. Income Deprivation Domain
E08000012,2019,Rank of average rank,,4,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Average Score,,33.793,"d. Education, Skills and Training Domain"
E08000012,2019,Rank of average score,,4,i. Income Deprivation Affecting Children Index (IDACI)
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,7,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000012,2019,Rank of average rank,,23,f. Crime Domain
E08000012,2019, Local concentration,,32684.97,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,2,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Average Rank,,25017.61,i. Income Deprivation Affecting Children Index (IDACI)
E08000012,2019,Rank of local concentration,,5,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Average Rank,,25833.57,a. Index of Multiple Deprivation (IMD)
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.6577,e. Health Deprivation and Disability Domain
E08000012,2019,Average Score,,1.347,e. Health Deprivation and Disability Domain
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0034,g. Barriers to Housing and Services Domain
E08000012,2019,Rank of average score,,22,f. Crime Domain
E08000012,2019,Average Score,,0.299,i. Income Deprivation Affecting Children Index (IDACI)
E08000012,2019,Average Score,,14.926,g. Barriers to Housing and Services Domain
E08000012,2019,Rank of average score,,280,g. Barriers to Housing and Services Domain
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,248,g. Barriers to Housing and Services Domain
E08000012,2019,Average Score,,0.591,f. Crime Domain
E08000012,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4195,i. Income Deprivation Affecting Children Index (IDACI)
E08000012,2019,Rank of average score,,3,e. Health Deprivation and Disability Domain
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,2,e. Health Deprivation and Disability Domain
E08000012,2019,Rank of average rank,,3,e. Health Deprivation and Disability Domain
E08000012,2019,Average Rank,,28926.79,e. Health Deprivation and Disability Domain
E08000012,2019,Average Score,,42.039,h. Living Environment Deprivation Domain
E08000012,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,9,h. Living Environment Deprivation Domain
E08000011,2019,Average Rank,,26199.75,a. Index of Multiple Deprivation (IMD)
E08000011,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.6122,e. Health Deprivation and Disability Domain
E08000011,2019,Rank of extent,,3,a. Index of Multiple Deprivation (IMD)
E08000011,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.051,h. Living Environment Deprivation Domain
E08000011,2019,Rank of average score,,83,f. Crime Domain
E08000011,2019,Rank of average score,,11,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000011,2019,Rank of average score,,62,h. Living Environment Deprivation Domain
E08000011,2019,Rank of average score,,3,"d. Education, Skills and Training Domain"
E08000011,2019,Rank of local concentration,,2,a. Index of Multiple Deprivation (IMD)
E08000011,2019,Rank of average score,,2,c. Employment Deprivation Domain
E08000011,2019,Average Rank,,25203.52,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000011,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.4184,j. Income Deprivation Affecting Older People Index (IDAOPI)
E08000011,2019,Rank of average rank,,1,c. Employment Deprivation Domain
E08000011,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,1,c. Employment Deprivation Domain
E08000011,2019,Rank of average rank,,3,b. Income Deprivation Domain
E08000011,2019,Proportion of Lower-layer Super Output Areas (LSOAs) in most deprived 10% nationally,,0.0000,g. Barriers to Housing and Services Domain
E08000011,2019,Rank of proportion of LSOAs in most deprived 10% nationally,,250,g. Barriers to Housing and Services Domain
E08000011,2019,Average Score,,27.953,h. Living Environment Deprivation Domain
